iter	Passed	Remaining
990	19260	174
991	19274	155
992	19286	135
993	19300	116
994	19312	97
995	19325	77
996	19337	58
997	19350	38
998	19363	19
999	19375	0
